,Brand_Family_Desc,region_desc,Gross_Sales,Advertisement_and_discount_cost,Transfer_Price_COGS,Distribution_cost_supply_chain,Distribution_cose_Sales_-_Region
2574,Ballantine'S,West Bengal & Sikkim,0.0,,0.0,,
2575,Ballantine'S,West Bengal & Sikkim,787500.0,0.0,318300.0,23474.9925,1273.92
2576,Ballantine'S,West Bengal & Sikkim,0.0,,0.0,,
2577,Ballantine'S,West Bengal & Sikkim,0.0,,0.0,,
2578,Ballantine'S,West Bengal & Sikkim,0.0,,0.0,,
2579,Ballantine'S,Punjab Region,0.0,,0.0,,
2580,Ballantine'S,Punjab Region,0.0,,0.0,,
2581,Ballantine'S,Punjab Region,210000.0,85000.0,72723.4,6668.4,10000.0
2582,Ballantine'S,Punjab Region,0.0,0.0,0.0,,5000.0
2583,Ballantine'S,Punjab Region,0.0,0.0,0.0,,10000.0
2584,Ballantine'S,Punjab Region,1050000.0,425000.0,424400.0,31299.99,10000.0
2585,Ballantine'S,Punjab Region,0.0,0.0,0.0,,10000.0
2586,Ballantine'S,Punjab Region,0.0,0.0,0.0,,10000.0
2587,Ballantine'S,Punjab Region,849750.0,226875.0,344025.0,17214.9945,20000.0
2588,Ballantine'S,Punjab Region,0.0,0.0,0.0,,20000.0
2589,Ballantine'S,MP Chattisgarh Region,7700232.79999999,777650.0,4163980.0,246730.8,16751.12
2590,Ballantine'S,MP Chattisgarh Region,0.0,,0.0,,
2591,Ballantine'S,,0.0,,,,
2592,Ballantine'S,,0.0,,0.0,,
2593,Ballantine'S,,0.0,,0.0,,
2594,Ballantine'S,,0.0,,,,
